순위	가수	제목	변동	좋아요	발매일	장르	댓글수	곡정보url	팬수
49	케이시 (Kassy)	너의 발걸음에 빛을 비춰줄게 (Prod. 조영수)	51	25951	2021.04.27	발라드	103	https://www.melon.com/song/detail.htm?songId=33439096	41678
50	경서예지	사실 나는 (Feat.전건호)	-14	76009	2020.04.12	발라드	243	https://www.melon.com/song/detail.htm?songId=32525311	3341
51	오반 (OVAN)	어떻게 지내 (Prod. By VAN.C)	-11	160634	2020.03.05	랩/힙합, 인디음악	2205	https://www.melon.com/song/detail.htm?songId=32438894	33486
52	오마이걸 (OH MY GIRL)	살짝 설렜어 (Nonstop)	5	179237	2020.04.27	댄스	10986	https://www.melon.com/song/detail.htm?songId=32559781	122330
53	마크툽 (MAKTUB)	오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)	-7	239650	2019.06.09	R&B/Soul, 인디음악	1052	https://www.melon.com/song/detail.htm?songId=31853557	29177
54	아이유	봄 안녕 봄	-42	67475	2021.03.25	발라드	810	https://www.melon.com/song/detail.htm?songId=33372784	742373
55	아이유	아이와 나의 바다	-33	93136	2021.03.25	발라드	1776	https://www.melon.com/song/detail.htm?songId=33372787	742373
56	노을	늦은 밤 너의 집 앞 골목길에서	-8	182340	2019.11.07	발라드	1546	https://www.melon.com/song/detail.htm?songId=32156286	42488
57	BLACKPINK	How You Like That	-6	179212	2020.06.26	댄스	4178	https://www.melon.com/song/detail.htm?songId=32720013	206316
58	CHEEZE (치즈)	이렇게 좋아해 본 적이 없어요	4	45545	2021.03.14	발라드, 인디음악	89	https://www.melon.com/song/detail.htm?songId=33347390	86138
59	하동균	기다릴게	41	20786	2021.04.22	발라드	78	https://www.melon.com/song/detail.htm?songId=33430095	19606
60	임영웅	이제 나만 믿어요	-2	130962	2020.04.03	성인가요	4815	https://www.melon.com/song/detail.htm?songId=32508053	84963
61	아이유	마음을 드려요	-9	209702	2020.02.15	발라드, 국내드라마	1823	https://www.melon.com/song/detail.htm?songId=32378104	742373
62	허각	고백 (바른연애 길잡이 X 허각)	-18	36751	2021.02.04	발라드	79	https://www.melon.com/song/detail.htm?songId=33260801	58917
63	아이유	Flu	-45	59439	2021.03.25	댄스	373	https://www.melon.com/song/detail.htm?songId=33372782	742373
64	규현 (KYUHYUN)	내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)	-14	105746	2020.08.23	발라드	513	https://www.melon.com/song/detail.htm?songId=32871975	64339
65	소정 (레이디스 코드)	함께 했는데 이별은 나 혼자인 거야	-12	37046	2021.02.19	발라드	93	https://www.melon.com/song/detail.htm?songId=33295747	5229
66	박진영	When We Disco (Duet with 선미)	-6	78740	2020.08.12	댄스	598	https://www.melon.com/song/detail.htm?songId=32853712	16390
67	아이유	Love poem	-8	304663	2019.11.01	록/메탈	3027	https://www.melon.com/song/detail.htm?songId=32143487	742373
68	폴킴	너를 만나	-4	289921	2018.10.29	발라드	966	https://www.melon.com/song/detail.htm?songId=31388145	150780
69	SG 워너비	죄와벌	31	46329	2005.03.23	발라드	156	https://www.melon.com/song/detail.htm?songId=711627	56695
70	가호 (Gaho)	시작	-5	214681	2020.02.01	록/메탈, 국내드라마	2260	https://www.melon.com/song/detail.htm?songId=32345931	9300
71	신예영	우리 왜 헤어져야 해	-3	110737	2019.11.20	발라드	680	https://www.melon.com/song/detail.htm?songId=32187544	5045
72	허각	우린 어쩌다 헤어진 걸까	-5	34613	2020.12.28	발라드	88	https://www.melon.com/song/detail.htm?songId=33164083	58917
73	MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)	상상더하기	27	50578	2021.05.22	댄스	515	https://www.melon.com/song/detail.htm?songId=33510307	4848
74	벤	혼술하고 싶은 밤	-13	44835	2020.12.02	발라드	166	https://www.melon.com/song/detail.htm?songId=33104090	82871
75	릴보이 (lIlBOI)	내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))	-12	106523	2020.12.05	랩/힙합	1673	https://www.melon.com/song/detail.htm?songId=33115807	24727
76	백지영	거짓말이라도 해서 널 보고싶어	-2	66466	2020.07.14	발라드	175	https://www.melon.com/song/detail.htm?songId=32777869	34873
77	임창정	되풀이	-22	29740	2021.03.09	발라드, 국내드라마	166	https://www.melon.com/song/detail.htm?songId=33338016	95356
78	아이유	돌림노래 (Feat. DEAN)	-53	58528	2021.03.25	R&B/Soul	598	https://www.melon.com/song/detail.htm?songId=33372785	742373
79	순순희	서면역에서	-13	52894	2020.05.05	발라드, 인디음악	247	https://www.melon.com/song/detail.htm?songId=32570501	2313
80	블루 (BLOO)	Downtown Baby	-5	188596	2017.12.06	랩/힙합, 인디음악	2993	https://www.melon.com/song/detail.htm?songId=30773554	32521
81	폴킴	안녕	-8	192327	2019.08.12	발라드, 국내드라마	524	https://www.melon.com/song/detail.htm?songId=31984204	150780
82	NCT DREAM	맛 (Hot Sauce)	18	106259	2021.05.10	랩/힙합	4891	https://www.melon.com/song/detail.htm?songId=33456218	146090
83	SG 워너비	아리랑	17	26002	2007.04.06	R&B/Soul	139	https://www.melon.com/song/detail.htm?songId=1615770	56695
84	로제 (ROSÉ)	Gone	-45	83212	2021.03.12	포크/블루스	565	https://www.melon.com/song/detail.htm?songId=33346447	40040
85	전상근	사랑은 지날수록 더욱 선명하게 남아	-6	65670	2020.06.07	발라드	326	https://www.melon.com/song/detail.htm?songId=32651098	11477
86	경서 (경서예지)	술 한잔 해요	-14	25351	2021.01.31	발라드	125	https://www.melon.com/song/detail.htm?songId=33247490	346
87	아이유	에필로그	-46	62298	2021.03.25	발라드	1206	https://www.melon.com/song/detail.htm?songId=33372789	742373
88	마마무 (Mamamoo)	딩가딩가 (Dingga)	-11	65948	2020.10.20	댄스	624	https://www.melon.com/song/detail.htm?songId=33001672	232804
89	화사 (Hwa Sa)	마리아 (Maria)	-11	159704	2020.06.29	댄스	2039	https://www.melon.com/song/detail.htm?songId=32725013	60854
90	하이라이트 (Highlight)	불어온다	10	38082	2021.05.03	댄스	929	https://www.melon.com/song/detail.htm?songId=33450426	82421
91	황치열	안녕이란 (Two Letters)	-7	20109	2021.04.02	발라드	125	https://www.melon.com/song/detail.htm?songId=33388275	56729
92	10CM	서울의 잠 못 이루는 밤 (Feat. 이수현)	8	31322	2021.05.13	발라드, 인디음악	166	https://www.melon.com/song/detail.htm?songId=33476728	156347
93	이예준	다시 만날까 봐 (Prod.V.O.S)	-7	23581	2021.02.07	발라드	54	https://www.melon.com/song/detail.htm?songId=33265859	13736
94	IZ*ONE (아이즈원)	Panorama	-9	68160	2020.12.07	댄스	2307	https://www.melon.com/song/detail.htm?songId=33120545	85500
95	이하이	그 한마디 (바른연애 길잡이 X 이하이)	-25	30555	2021.03.14	발라드	99	https://www.melon.com/song/detail.htm?songId=33347594	69679
96	현아	I'm Not Cool	-27	38139	2021.01.28	댄스	477	https://www.melon.com/song/detail.htm?songId=33244575	39911
97	윤하 (YOUNHA)	서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA))	-14	42028	2021.02.08	발라드	119	https://www.melon.com/song/detail.htm?songId=33269643	95540
98	NCT DREAM	고래 (Dive Into You)	2	80723	2021.05.10	댄스	1207	https://www.melon.com/song/detail.htm?songId=33456220	146090
99	SHINee (샤이니)	Don't Call Me	-19	68549	2021.02.22	댄스	2252	https://www.melon.com/song/detail.htm?songId=33305996	128196
100	호미들	사이렌	0	60364	2020.05.15	랩/힙합	400	https://www.melon.com/song/detail.htm?songId=32596005	24674
